selection_rank,prompt_id,category,prompt,negative_prompt,seed,nfe,guidance,candidate_id,selected_image,selected_image_sha256,selection_notes
11,showcase-landscapes-02,landscapes,"a quiet tropical beach at dusk, turquoise waves and pink sky, serene travel photograph","blurry, malformed, distorted, text, watermark, logo",641002,15,5.0,showcase-landscapes-02-v02,images/11-showcase-landscapes-02.png,815db90f3a6cbd780dcff9292aa117ccd5da03690a64bfc0d5a6ea48348b5d31,Palm silhouette gives the strongest composition in the vivid dusk series.
12,showcase-landscapes-03,landscapes,"a waterfall hidden in a lush emerald forest, soft mist and filtered sunlight, detailed photograph","blurry, malformed, distorted, text, watermark, logo",641101,15,5.0,showcase-landscapes-03-v01,images/12-showcase-landscapes-03.png,66adcad27f1c19cf5080c6be3aa78aea5aa32c9008af004c919e1f924dc4ad17,Clean waterfall shape framed by deep emerald foliage.
13,showcase-landscapes-04,landscapes,"golden desert dunes under a deep blue twilight sky, elegant shadows, cinematic landscape","blurry, malformed, distorted, text, watermark, logo",641202,15,5.0,showcase-landscapes-04-v02,images/13-showcase-landscapes-04.png,882fc7ebdee470c35e18ac941799a3156011c3b79b28948637e98e4ef1cf78f2,"Natural dune curves, clean horizon, and restrained twilight color."
14,showcase-landscapes-05,landscapes,"a field of red poppies beneath distant mountains, bright spring light, impressionist oil painting","blurry, malformed, distorted, text, watermark, logo",641302,15,5.0,showcase-landscapes-05-v02,images/14-showcase-landscapes-05.png,2267184a01d6f469c326f39480c265616edbcc790e573408ffecb31aaff2b699,Best mountain structure and foreground poppy rhythm.
15,showcase-landscapes-06,landscapes,"a peaceful snowy valley beneath the northern lights, clear stars, magical winter night","blurry, malformed, distorted, text, watermark, logo",641400,15,5.0,showcase-landscapes-06-v00,images/15-showcase-landscapes-06.png,68281db19f57032483fbd6cd7817275b2be5ccef3b8446c9fb31484a3705a3a8,"Readable winter valley with a clear, luminous aurora."
16,showcase-landscapes-07,landscapes,"a rugged sea cliff covered in wildflowers, turquoise ocean below, airy coastal photograph","blurry, malformed, distorted, text, watermark, logo",641501,15,5.0,showcase-landscapes-07-v01,images/16-showcase-landscapes-07.png,0873b596dafe2209f6cb0dedf913b5101f61b3a16cdde3058fbcd0be8c7c0e34,Airy ocean view with a clean flowered cliff foreground.
17,showcase-architecture-00,architecture,"a white Mediterranean house covered in bougainvillea, blue door, brilliant summer sunlight","blurry, malformed, distorted, text, watermark, logo",641602,15,5.0,showcase-architecture-00-v02,images/17-showcase-architecture-00.png,e40e1c540f4b8625ee6973baef416673e0250657da4b571afd8eb1400dc2c3d9,Strong blue door focal point and dense but coherent bougainvillea.
18,showcase-architecture-01,architecture,"a cozy stone cottage beside a woodland stream, glowing windows, autumn evening painting","blurry, malformed, distorted, text, watermark, logo",641701,15,5.0,showcase-architecture-01-v01,images/18-showcase-architecture-01.png,5b061bdf67fcb1874d61f619d1f40893dae121ab213fc85a3a6eb88cf599ce60,"Clean cottage structure, warm windows, and attractive autumn framing."
19,showcase-architecture-02,architecture,"an elegant glass observatory on a snowy mountain at sunset, cinematic architectural photograph","blurry, malformed, distorted, text, watermark, logo",641800,15,5.0,showcase-architecture-02-v00,images/19-showcase-architecture-02.png,8e0bfafbbf112a0223cf419e8856af7982089e25fb6782d8f4dfa97d3e976c2a,Most convincing glass observatory with a clean snowy setting.
20,showcase-architecture-03,architecture,"a Japanese wooden temple surrounded by red maple trees, tranquil morning mist, detailed photograph","blurry, malformed, distorted, text, watermark, logo",641902,15,5.0,showcase-architecture-03-v02,images/20-showcase-architecture-03.png,ccf7f9056dedbf9b92023df77ece86575a08a02cd460c0e5b107f12f2939682b,Readable temple roofline with balanced red-maple framing.
21,showcase-architecture-04,architecture,"a grand library hall with arched windows and warm lamps, symmetrical interior photography","blurry, malformed, distorted, text, watermark, logo",642002,15,5.0,showcase-architecture-04-v02,images/21-showcase-architecture-04.png,cf934480ab2c53ae80f18cad1e46499931afa2852755e2ce1e99bcecb47763ab,Symmetrical library perspective and clean shelves without visible text artifacts.
22,showcase-architecture-05,architecture,"colorful canal houses reflected in calm water, clear blue hour, charming European cityscape","blurry, malformed, distorted, text, watermark, logo",642101,15,5.0,showcase-architecture-05-v01,images/22-showcase-architecture-05.png,9f7f214e332e6bed8898f6cd8178266cb19fca5bc4d2271806fa443a11e885ba,Best canal reflection and coherent colorful waterfront.
23,showcase-architecture-06,architecture,"a modern cabin with large windows in a pine forest, warm interior glow, winter twilight","blurry, malformed, distorted, text, watermark, logo",642203,15,5.0,showcase-architecture-06-v03,images/23-showcase-architecture-06.png,aab94ea03dbe812e4193297f629314edf14656095f8552328c4a5b246d703875,Clean modern cabin silhouette and warm winter-window contrast.
24,showcase-architecture-07,architecture,"an ancient sandstone arch opening onto a bright desert valley, cinematic travel photograph","blurry, malformed, distorted, text, watermark, logo",642303,15,5.0,showcase-architecture-07-v03,images/24-showcase-architecture-07.png,0718afcbf5153b92dd24748a49b388f258183e5365ca796f83f7436fb4596a8d,Only strong natural arch composition; clean desert depth and color.
25,showcase-botanical-00,botanical,"a bouquet of coral peonies in a ceramic vase, dark green background, classical floral painting","blurry, malformed, distorted, text, watermark, logo",642400,15,5.0,showcase-botanical-00-v00,images/25-showcase-botanical-00.png,f54b5c9c58798bf0e835927c2fb05df8609ba5cdd61317c5c2a09be6ac5a8a31,Natural bouquet arrangement with varied coral blooms and restrained background.
26,showcase-botanical-01,botanical,"delicate blue wildflowers covered in morning dew, soft natural light, macro botanical photograph","blurry, malformed, distorted, text, watermark, logo",642501,15,5.0,showcase-botanical-01-v01,images/26-showcase-botanical-01.png,104b34497505f28253bbab88b07b6bb7f2550a3d8f59e9dc18a4177c30d8617b,Crisp blue macro flowers and attractive dew-like texture.
27,showcase-rescue-botanical-leaf,botanical,"one large green monstera leaf casting a soft shadow on a pale wall, minimalist photograph","blurry, malformed, distorted, text, watermark, logo",881105,15,5.0,showcase-rescue-botanical-leaf-v05,images/27-showcase-rescue-botanical-leaf.png,03e9ef60345379f3d246dd682615deef0c0a7675cf8c1250786081b4e4e78a57,Simplified rescue prompt produced the cleanest single-leaf composition.
28,showcase-botanical-03,botanical,"a flowering cherry branch against a pale turquoise sky, elegant Japanese woodblock style","blurry, malformed, distorted, text, watermark, logo",642703,15,5.0,showcase-botanical-03-v03,images/28-showcase-botanical-03.png,ab12d5c3b4a663b888c12eab6e453641642735eb9346a2296814246dfbcf7daf,Graceful diagonal cherry branch with fine blossoms and open sky.
29,showcase-botanical-04,botanical,"sunflowers glowing in late afternoon light, rich blue background, expressive oil painting","blurry, malformed, distorted, text, watermark, logo",642800,15,5.0,showcase-botanical-04-v00,images/29-showcase-botanical-04.png,88b95ec066919f09e7ff33ca1eb5cb86b5f1c0531b983407103d662fdc68cc5e,Expressive sunflower field with strong blue-yellow palette.
30,showcase-botanical-05,botanical,"a glass greenhouse filled with tropical plants, sunbeams and gentle mist, dreamy photograph","blurry, malformed, distorted, text, watermark, logo",642901,15,5.0,showcase-botanical-05-v01,images/30-showcase-botanical-05.png,7ddda4a590cab027c435f7b2d83e3015918891bcb954c0b549061121362ff340,"Lush greenhouse depth, convincing glass roof, and gentle mist."
31,showcase-botanical-06,botanical,"pressed fern leaves and tiny flowers on handmade paper, refined natural history illustration","blurry, malformed, distorted, text, watermark, logo",643000,15,5.0,showcase-botanical-06-v00,images/31-showcase-botanical-06.png,a53bcd2edaa7f6d2e89a86c992fedc4e4cd8b5ef0a276e2af3d9b73dab265af8,Clean natural-history fern silhouette with delicate line work.
32,showcase-botanical-07,botanical,"pink lotus flowers floating on a dark reflective pond, peaceful dawn, luminous painting","blurry, malformed, distorted, text, watermark, logo",643102,15,5.0,showcase-botanical-07-v02,images/32-showcase-botanical-07.png,064aea21ae73586259fc8ab23846b8fc7ecc954fe8dcbd395551b41784b82029,Elegant lotus foreground and tranquil pink-blue reflection.
33,showcase-replacement-maple-pond,landscapes,"red Japanese maple leaves reflected in a quiet garden pond, morning haze, elegant painterly composition","blurry, malformed, distorted, text, watermark, logo",760200,15,5.0,showcase-replacement-maple-pond-v00,images/33-showcase-replacement-maple-pond.png,512663997ce471dffc3e6fffe83e9e5968f228e0eeba612724a3e6228f708605,"Replaced an ambiguous cake structure; vivid red maple canopy, dark pond, and high-contrast graphic composition."
34,showcase-replacement-stained-glass,macro_abstract,"luminous geometric stained glass in sapphire amber and ruby, intricate symmetrical abstract design","blurry, malformed, distorted, text, watermark, logo",760703,15,5.0,showcase-replacement-stained-glass-v03,images/34-showcase-replacement-stained-glass.png,1d91ecbb870c846fc2013fc73094263bb8879ace038176467a1e0886b0945443,"Replaced the malformed bread; structurally coherent stained-glass form with luminous amber, ruby, and indigo geometry."
35,showcase-food-02,food,"a bowl of ripe peaches and green leaves, deep blue cloth, classical still life painting","blurry, malformed, distorted, text, watermark, logo",643403,15,5.0,showcase-food-02-v03,images/35-showcase-food-02.png,0c958e021194232f094ec619764cd40bee8c896759a4782df6f0ab43eaf50b18,Strong classical still-life lighting and clean peach arrangement.
36,showcase-replacement-terracotta-arches,architecture,"sunlit terracotta arches casting long geometric shadows, warm minimalist Mediterranean architecture","blurry, malformed, distorted, text, watermark, logo",760600,15,5.0,showcase-replacement-terracotta-arches-v00,images/36-showcase-replacement-terracotta-arches.png,22d28b74c0c722704e73a69300bd20664dbf093ad36304b5b2052a9aa4ec6c05,"Replaced an ambiguous pastry form; clean repeating arches, warm surfaces, and dramatic geometric shadows."
37,showcase-replacement-oranges,food,"a ceramic bowl of oranges and green leaves on a sunlit wooden table, elegant still life photograph","blurry, malformed, distorted, text, watermark, logo",990203,15,5.0,showcase-replacement-oranges-v03,images/37-showcase-replacement-oranges.png,43c09b89fe32df366ddd8fd8f80b97c585776a43d18dacdabc4ebe2c7437cc2a,"Replaced unreliable soup with a crisp, sunlit citrus still life."
38,showcase-replacement-wildflower-valley,landscapes,"a sweeping valley filled with colorful wildflowers and distant blue mountains, luminous spring morning","blurry, malformed, distorted, text, watermark, logo",760304,15,5.0,showcase-replacement-wildflower-valley-v04,images/38-showcase-replacement-wildflower-valley.png,b97e06ed82b778b6a057a87d60357cca57c100e7ac39bc241f6a75fb461cbc15,"Replaced an overly abstract fruit image; expansive flower field, readable valley layers, and bright natural color."
39,showcase-replacement-cherries,food,"a porcelain bowl of red cherries with green leaves on deep blue cloth, classical still life painting","blurry, malformed, distorted, text, watermark, logo",990103,15,5.0,showcase-replacement-cherries-v03,images/39-showcase-replacement-cherries.png,051d873504534104e21a5162bdad89fb5eee2153208796b8544f2c61bb41aad8,Replaced malformed hot-chocolate vessels with a coherent blue-bowl fruit still life.
40,showcase-food-07,food,"purple figs, grapes, and walnuts on a dark wooden table, dramatic renaissance still life","blurry, malformed, distorted, text, watermark, logo",643902,15,5.0,showcase-food-07-v02,images/40-showcase-food-07.png,0851252078b453a73cc6d73b802da99f9a4bc8840c8e1b5e9fc664ef22e77b49,Balanced renaissance-style fruit grouping and dramatic dark background.
41,showcase-art-00,illustration,"a tiny moonlit village nestled inside a blue teacup, whimsical detailed storybook illustration","blurry, malformed, distorted, text, watermark, logo",644000,15,5.0,showcase-art-00-v00,images/41-showcase-art-00.png,8bfe1a76bb3182828e37f61fe694bb0f8d2aebc1fe6b903a7452091dbe2656cc,Most charming miniature-village composition with a coherent storybook style.
42,showcase-art-01,illustration,"a golden sailing ship crossing a sea of clouds, radiant sunrise, epic fantasy painting","blurry, malformed, distorted, text, watermark, logo",644101,15,5.0,showcase-art-01-v01,images/42-showcase-art-01.png,6e493530c31acfe4265549b831ad842f00ca562959a12296e2b1aac130d19c2f,Clean central ship silhouette and luminous golden sea of clouds.
43,showcase-art-02,illustration,"an enchanted forest path lit by floating lanterns, deep emerald and gold, magical concept art","blurry, malformed, distorted, text, watermark, logo",644201,15,5.0,showcase-art-02-v01,images/43-showcase-art-02.png,36a8917ccd158069b84d241d8b3db2536e537af83fe42f6b601863df3d79dbf3,Strong glowing path through a deep emerald forest.
44,showcase-art-03,illustration,"a celestial garden beneath a crescent moon, indigo flowers and silver stars, dreamy gouache","blurry, malformed, distorted, text, watermark, logo",644302,15,5.0,showcase-art-03-v02,images/44-showcase-art-03.png,6435374f98daaa02a6140fc908b3a300b83141cbf34dcf95e1d5b96ffa1ba688,Rich celestial flower field with a crisp gouache texture.
45,showcase-art-04,illustration,"a small lighthouse standing above enormous turquoise waves, bold vintage travel poster style","blurry, malformed, distorted, text, watermark, logo",644403,15,5.0,showcase-art-04-v03,images/45-showcase-art-04.png,276656c1092bd88696e6a49932c083a1914105d1497fb3c5e60769be7a3e6687,Bold readable lighthouse form and clean turquoise seascape.
46,showcase-art-05,illustration,"a crystalline castle reflected in a frozen lake, pale sunrise, intricate fantasy illustration","blurry, malformed, distorted, text, watermark, logo",644503,15,5.0,showcase-art-05-v03,images/46-showcase-art-05.png,16a43fc16899b72494e9e9fe1867a5be9515d3b9cad80341b22040ef4b1e253c,Most coherent crystalline skyline and beautiful frozen reflection.
47,showcase-rescue-art-bakery,illustration,"a colorful bakery window filled with strawberry cakes, flowers outside, whimsical storybook illustration","blurry, malformed, distorted, text, watermark, logo",880300,15,5.0,showcase-rescue-art-bakery-v00,images/47-showcase-rescue-art-bakery.png,fd6c2011507a8541903c6a4feb4ad4097f49fd335d3845f7a41aa3fbca2ddeb8,Rescue prompt produced the clearest pastry-window scene with flowers.
48,showcase-replacement-moonlit-pines,illustration,"a moonlit pine forest beneath a deep blue starry sky, silver mist between the trees, luminous storybook illustration","blurry, malformed, distorted, text, watermark, logo",770002,15,5.0,showcase-replacement-moonlit-pines-v02,images/48-showcase-replacement-moonlit-pines.png,cbab28b59959d5101497005e46ff762497bc750d7e80d56d4a6b78f27ad77004,"Replaced an unreadable lantern after full-resolution review; elegant tree silhouettes, starry blue sky, silver mist, and a luminous forest floor."
49,showcase-rescue-cozy-reading,cozy_interiors,"a velvet armchair beside a bookshelf and a warm lamp, elegant cozy reading corner","blurry, malformed, distorted, text, watermark, logo",880804,15,5.0,showcase-rescue-cozy-reading-v04,images/49-showcase-rescue-cozy-reading.png,272c59c5ceb2d359c9609fb75e1895aad40942da4d8c24036f346aa21197b6b2,Simplified rescue prompt gave the cleanest single-chair reading nook.
50,showcase-cozy-01,cozy_interiors,"a sunlit kitchen with blue cabinets and bowls of lemons, inviting editorial interior photography","blurry, malformed, distorted, text, watermark, logo",644900,15,5.0,showcase-cozy-01-v00,images/50-showcase-cozy-01.png,b52d3be353b15fe6ad7e5c0cf2f64f5002d0aa365fc7178efa4d7454cc676510,Cleanest blue kitchen geometry with bright editorial light.
51,showcase-cozy-02,cozy_interiors,"a rustic bedroom with linen bedding and dried flowers, gentle morning light, calm interior","blurry, malformed, distorted, text, watermark, logo",645003,15,5.0,showcase-cozy-02-v03,images/51-showcase-cozy-02.png,2e39ba99f34a2a49c64d7c25bdf9308d42364afb113fac23a0cef4e7b418c854,"Soft linen bed, uncluttered room, and beautiful morning light."
52,showcase-cozy-03,cozy_interiors,"a pottery studio filled with ceramic vases and leafy plants, warm afternoon sunlight","blurry, malformed, distorted, text, watermark, logo",645102,15,5.0,showcase-cozy-03-v02,images/52-showcase-cozy-03.png,26ff80f2092bf082b4ca226ecc0c98f079b2548124e4c943b274f9d970025ae2,Rich plant-filled studio with visible pottery and convincing sunlight.
53,showcase-rescue-cozy-candle,cozy_interiors,"a single candle glowing on a dark wooden table beside a rainy window, cinematic still life","blurry, malformed, distorted, text, watermark, logo",880903,15,5.0,showcase-rescue-cozy-candle-v03,images/53-showcase-rescue-cozy-candle.png,87afd30a29d00ea1f8dc6ccd6590b65bd70da9d2e00282f61ed1a21a4bd39f8d,Rescue still life has the cleanest candle shape and warm rainy-window reflections.
54,showcase-cozy-05,cozy_interiors,"a bright artist studio with wooden easels and colorful canvases, soft northern daylight","blurry, malformed, distorted, text, watermark, logo",645300,15,5.0,showcase-cozy-05-v00,images/54-showcase-cozy-05.png,7211c059965d7c2d55540aca78faa6374b28636c1d68b7b9b46c757ef6d734f5,Most coherent artist-studio furniture and pleasing pastel wall art.
55,showcase-cozy-06,cozy_interiors,"a peaceful spa interior with stone, pale wood and green plants, diffused natural light","blurry, malformed, distorted, text, watermark, logo",645402,15,5.0,showcase-cozy-06-v02,images/55-showcase-cozy-06.png,7becaef097766579487e4ecad19d86a23afce93aa471d75dc0b162e6fbc2f9f7,"Clean spa geometry, large windows, and calm green woodland view."
56,showcase-cozy-07,cozy_interiors,"a vintage conservatory with wicker furniture and abundant flowers, dreamy afternoon light","blurry, malformed, distorted, text, watermark, logo",645501,15,5.0,showcase-cozy-07-v01,images/56-showcase-cozy-07.png,cd1c525f8803b1c81c2f71624f972c49c810615961d85c2597238ee1cf3fab6e,Exceptionally lush conservatory with strong depth and natural light.
57,showcase-macro-00,macro_abstract,"translucent seashells and sea glass on wet sand, pearlescent colors, elegant macro photograph","blurry, malformed, distorted, text, watermark, logo",645600,15,5.0,showcase-macro-00-v00,images/57-showcase-macro-00.png,94c8a86181b74ee8a0486713e6c3b61135d453d6be7777bd6b594a0eac2224a2,Pearlescent sea-glass forms with a crisp turquoise macro palette.
58,showcase-macro-01,macro_abstract,"iridescent soap bubbles against a midnight blue background, luminous abstract photography","blurry, malformed, distorted, text, watermark, logo",645703,15,5.0,showcase-macro-01-v03,images/58-showcase-macro-01.png,e9f92201922ca328ff4f75670e6dcee8d9d99f3512b764c801527c344120bddd,Most balanced luminous-bubble abstraction against deep blue.
59,showcase-macro-02,macro_abstract,"smooth river stones beneath clear turquoise water, dancing sunlight, tranquil close-up photograph","blurry, malformed, distorted, text, watermark, logo",645803,15,5.0,showcase-macro-02-v03,images/59-showcase-macro-02.png,acac366649e4fef8c2de0cf40df57995c0b03c543145ee8444420c9c490e95b5,Clear turquoise water and readable smooth river stones.
60,showcase-macro-03,macro_abstract,"amber and crimson ink swirling through clear water, graceful abstract forms, studio photography","blurry, malformed, distorted, text, watermark, logo",645903,15,5.0,showcase-macro-03-v03,images/60-showcase-macro-03.png,cc8f672167e4b67d4a1d75f18f0ea0de3e586908bb4349d0955656ca624f0e70,Graceful red ink sweep with dramatic black-water contrast.
61,showcase-rescue-macro-snowflake,macro_abstract,"a single crystal snowflake resting on dark blue fabric, sparkling macro photograph","blurry, malformed, distorted, text, watermark, logo",880702,15,5.0,showcase-rescue-macro-snowflake-v02,images/61-showcase-rescue-macro-snowflake.png,e710edd653e2819655e77ef2027fb912d030c35eff116cf2d51b70ee5bef5c51,Rescue pool produced a crisp radial crystal form without blur.
62,showcase-macro-05,macro_abstract,"colorful mineral crystals glowing against black velvet, dramatic museum photography","blurry, malformed, distorted, text, watermark, logo",646101,15,5.0,showcase-macro-05-v01,images/62-showcase-macro-05.png,3a3bf1365f7bf0c49c2037ff1b81875a209b3590dea8a4cf6a9ec9344e688bc4,Vivid purple-green mineral surface with convincing crystalline texture.
63,showcase-macro-06,macro_abstract,"layers of handmade paper in coral, gold and deep teal, tactile geometric abstract composition","blurry, malformed, distorted, text, watermark, logo",646200,15,5.0,showcase-macro-06-v00,images/63-showcase-macro-06.png,5d8992c5f552c87ad9d135c2978b8eec73c95fba3dcff8b4adaa95addfbb5e46,"Best layered-paper depth, restrained coral palette, and clean geometry."
64,showcase-macro-07,macro_abstract,"sunlight passing through overlapping green leaves, luminous patterns and soft shadows","blurry, malformed, distorted, text, watermark, logo",646300,15,5.0,showcase-macro-07-v00,images/64-showcase-macro-07.png,cbd43d51183d943f2e5f8550278416d65dec7d1ea1e472e4f3a030603df2cc2c,Strong overlapping green silhouettes and luminous natural patterns.
